,native,name,p_value
4,GO:0005515,protein binding,3.2552552286066015e-24
5,GO:0005829,cytosol,5.244509644981544e-24
9,GO:0005737,cytoplasm,9.733340490427142e-22
85,GO:0005654,nucleoplasm,2.139525203213026e-14
151,GO:0031982,vesicle,6.233602692243684e-12
174,GO:1903561,extracellular vesicle,3.431915728809695e-11
175,GO:0043230,extracellular organelle,3.5311465647705385e-11
176,GO:0065010,extracellular membrane-bounded organelle,3.5311465647705385e-11
177,GO:1901564,organonitrogen compound metabolic process,3.538225446831533e-11
180,GO:0006793,phosphorus metabolic process,4.47426423635096e-11
