,native,name,p_value
0,GO:0032501,multicellular organismal process,3.631081125587694e-110
1,GO:0032502,developmental process,2.7744827603091303e-80
2,GO:0048856,anatomical structure development,5.854583317574059e-75
3,GO:0071944,cell periphery,9.36188856383521e-68
4,GO:0007275,multicellular organism development,4.7868693569575574e-63
5,GO:0031226,intrinsic component of plasma membrane,1.6755761378326668e-62
6,GO:0005887,integral component of plasma membrane,9.157549355241183e-60
7,GO:0048731,system development,2.0500560057881156e-59
8,GO:0023052,signaling,6.6598075242762065e-59
9,GO:0007154,cell communication,2.731085725535303e-58
