,native,name,p_value
0,GO:0009615,response to virus,6.267237311462704e-36
1,GO:0051607,defense response to virus,8.195467742540661e-35
2,GO:0140546,defense response to symbiont,9.101487500325707e-35
3,GO:0044419,biological process involved in interspecies interaction between organisms,5.02543992026461e-32
4,GO:0051707,response to other organism,2.489234633489352e-31
5,GO:0043207,response to external biotic stimulus,2.7194626282917224e-31
6,GO:0009607,response to biotic stimulus,8.207438311360995e-31
7,GO:0006952,defense response,6.577039819415024e-30
8,GO:0098542,defense response to other organism,2.175643732915472e-29
9,GO:0045087,innate immune response,7.09752456150836e-28
