,native,name,p_value
0,GO:0005515,protein binding,8.500943969949034e-22
1,GO:0005829,cytosol,9.679618189263323e-19
2,GO:0005737,cytoplasm,1.0371339461658799e-18
5,GO:0005654,nucleoplasm,1.8742832054355806e-15
15,GO:0070013,intracellular organelle lumen,6.980631330719443e-13
16,GO:0043233,organelle lumen,6.980631330719443e-13
17,GO:0031974,membrane-enclosed lumen,6.980631330719443e-13
20,GO:0043227,membrane-bounded organelle,7.567806233908665e-13
53,GO:0043226,organelle,1.2102089676222438e-10
68,GO:0031981,nuclear lumen,4.186966736057168e-10
