,native,name,p_value
0,GO:0005737,cytoplasm,2.7705847778046904e-39
1,GO:0005829,cytosol,2.5097330414050275e-32
2,GO:0005515,protein binding,1.7529720618498267e-29
3,GO:0005654,nucleoplasm,1.5777034064332093e-26
21,GO:0031974,membrane-enclosed lumen,8.433150972173734e-20
22,GO:0070013,intracellular organelle lumen,8.433150972173734e-20
23,GO:0043233,organelle lumen,8.433150972173734e-20
49,GO:1901564,organonitrogen compound metabolic process,1.5387614264814232e-17
54,GO:0031982,vesicle,4.1106722608717336e-17
58,GO:0005622,intracellular anatomical structure,7.149783631978928e-17
