,native,name,p_value
10,GO:0005737,cytoplasm,2.4467641974895815e-15
51,GO:0005829,cytosol,1.1152867101500031e-11
59,GO:0005654,nucleoplasm,6.30762281721675e-11
72,GO:0005515,protein binding,2.456021207727676e-10
73,GO:0043231,intracellular membrane-bounded organelle,2.88414370232839e-10
74,GO:0043227,membrane-bounded organelle,3.0046115950878253e-10
86,GO:0005622,intracellular anatomical structure,1.0966191756431631e-09
92,GO:0043226,organelle,2.7662136153500366e-09
98,GO:0012505,endomembrane system,4.1310514495885006e-09
104,GO:0036211,protein modification process,5.875990554249456e-09
