,native,name,p_value
45,GO:0005515,protein binding,1.4396183095811723e-14
96,GO:0005737,cytoplasm,8.965055670421286e-12
259,GO:0048523,negative regulation of cellular process,1.6895381167963572e-06
280,GO:0050794,regulation of cellular process,6.234329430926855e-06
294,GO:0030054,cell junction,1.4400122573502674e-05
303,GO:0070161,anchoring junction,2.3555309305227254e-05
315,GO:0097435,supramolecular fiber organization,6.254007979843107e-05
325,GO:0065007,biological regulation,9.239805664989962e-05
345,GO:0005829,cytosol,0.00017944235537640127
347,GO:0007275,multicellular organism development,0.00018304942392366566
