,native,name,p_value
1,GO:0005654,nucleoplasm,2.252731934610682e-33
24,GO:0031974,membrane-enclosed lumen,4.0636814513177334e-26
25,GO:0043233,organelle lumen,4.0636814513177334e-26
26,GO:0070013,intracellular organelle lumen,4.0636814513177334e-26
32,GO:0005622,intracellular anatomical structure,3.6668449828324183e-25
39,GO:0044260,cellular macromolecule metabolic process,5.556032040622044e-24
47,GO:0043227,membrane-bounded organelle,9.36337187321536e-22
57,GO:0005737,cytoplasm,4.545854974077771e-21
62,GO:0044249,cellular biosynthetic process,1.1459877021148901e-20
64,GO:0009058,biosynthetic process,1.5036715431658443e-20
