,native,name,p_value
50,GO:0005737,cytoplasm,2.2516195131111698e-15
54,GO:0005515,protein binding,5.330503707781695e-15
60,GO:0005654,nucleoplasm,1.157220818476893e-14
120,GO:0044260,cellular macromolecule metabolic process,6.9211099423339475e-12
195,GO:0005829,cytosol,4.486242457612722e-10
289,GO:0019538,protein metabolic process,1.8927700320268146e-08
320,GO:0070013,intracellular organelle lumen,8.099330425709333e-08
321,GO:0031974,membrane-enclosed lumen,8.099330425709333e-08
322,GO:0043233,organelle lumen,8.099330425709333e-08
339,GO:1901564,organonitrogen compound metabolic process,1.2775406711881228e-07
