,native,name,p_value
1,GO:0005737,cytoplasm,2.6532605137323757e-25
10,GO:0031090,organelle membrane,7.79198475816149e-16
20,GO:0012505,endomembrane system,3.595771608966304e-15
31,GO:0036211,protein modification process,3.604291334170462e-14
34,GO:0005829,cytosol,4.6360913803464927e-14
41,GO:0043412,macromolecule modification,1.5999477397834656e-13
44,GO:0006996,organelle organization,3.5332298891162937e-13
47,GO:0019538,protein metabolic process,4.4849787880809316e-13
48,GO:1901564,organonitrogen compound metabolic process,5.151358644327536e-13
51,GO:0005515,protein binding,6.821895974447217e-13
