,native,name,p_value
0,GO:0005737,cytoplasm,1.018648021548768e-27
1,GO:0005515,protein binding,7.14613882508668e-21
3,GO:1901564,organonitrogen compound metabolic process,4.4171426051063943e-16
4,GO:0031410,cytoplasmic vesicle,3.3471267657884308e-15
5,GO:0012505,endomembrane system,3.4588224963208017e-15
6,GO:0097708,intracellular vesicle,3.586215533210438e-15
8,GO:0050896,response to stimulus,7.017450616610589e-15
10,GO:0048522,positive regulation of cellular process,1.1486408699135068e-13
11,GO:0048583,regulation of response to stimulus,1.779310299273688e-13
12,GO:0050794,regulation of cellular process,2.963882422637621e-13
