,native,name,p_value
0,GO:0005654,nucleoplasm,3.433105988117671e-13
1,GO:0005829,cytosol,6.875110295351583e-11
2,GO:0005737,cytoplasm,1.1165946140263533e-10
7,GO:0005515,protein binding,7.009409963873841e-09
8,GO:0031981,nuclear lumen,9.560618342610544e-09
9,GO:0036211,protein modification process,1.4846227082058241e-08
11,GO:0050794,regulation of cellular process,4.2235519740952616e-08
12,GO:0043412,macromolecule modification,4.6277238552090385e-08
13,GO:0031974,membrane-enclosed lumen,1.0514638191662147e-07
14,GO:0043233,organelle lumen,1.0514638191662147e-07
