,native,name,p_value
0,GO:0005515,protein binding,3.2365487993553e-18
1,GO:0005737,cytoplasm,4.464315847597854e-17
14,GO:0005654,nucleoplasm,7.951188147678617e-15
20,GO:1901576,organic substance biosynthetic process,2.4107190294845727e-14
21,GO:0031323,regulation of cellular metabolic process,4.841399568418215e-14
24,GO:0009058,biosynthetic process,7.990048401092545e-14
26,GO:0044249,cellular biosynthetic process,1.0035860733996157e-13
47,GO:0080090,regulation of primary metabolic process,1.4262832489380672e-12
48,GO:0051171,regulation of nitrogen compound metabolic process,1.6329929933192081e-12
54,GO:0043227,membrane-bounded organelle,3.650160333837228e-12
