,native,name,p_value
0,GO:0031982,vesicle,6.245110365935064e-24
1,GO:0031410,cytoplasmic vesicle,5.1544439037840114e-23
2,GO:0097708,intracellular vesicle,5.509065532504829e-23
3,GO:0099503,secretory vesicle,1.797674013833273e-21
4,GO:0030141,secretory granule,2.9145653783941406e-21
5,GO:0002376,immune system process,4.628593864692926e-21
6,GO:0005737,cytoplasm,5.207629200279712e-20
7,GO:0012505,endomembrane system,3.7571525745897975e-19
8,GO:0005886,plasma membrane,2.5454498757903093e-18
9,GO:0030667,secretory granule membrane,6.37747621780457e-18
