,native,name,p_value
0,GO:0044419,biological process involved in interspecies interaction between organisms,3.838555106323428e-22
1,GO:0006952,defense response,4.7995853023527565e-21
2,GO:0002376,immune system process,7.844185448145734e-21
3,GO:0051707,response to other organism,5.849639314936777e-20
4,GO:0043207,response to external biotic stimulus,6.572012022236876e-20
5,GO:0009607,response to biotic stimulus,2.7998640134962634e-19
6,GO:0006950,response to stress,5.074620416217685e-19
7,GO:0006955,immune response,1.7581807533129614e-18
8,GO:0009605,response to external stimulus,1.341473881076152e-17
9,GO:0005737,cytoplasm,2.0564088663584015e-17
