,native,name,p_value
0,GO:0005654,nucleoplasm,1.465447839861348e-13
3,GO:0031981,nuclear lumen,3.182355631516394e-09
8,GO:0005634,nucleus,9.864951039796376e-09
25,GO:0005515,protein binding,2.3474988404873035e-07
29,GO:0016607,nuclear speck,5.262977069537432e-07
30,GO:0016604,nuclear body,5.299692025411667e-07
36,GO:0043231,intracellular membrane-bounded organelle,9.595462628664075e-07
38,GO:0051171,regulation of nitrogen compound metabolic process,1.1956383706280176e-06
41,GO:0070013,intracellular organelle lumen,1.2710753342177318e-06
42,GO:0043233,organelle lumen,1.2710753342177318e-06
