,native,name,p_value
0,GO:0034774,secretory granule lumen,1.5686818691376226e-17
1,GO:0060205,cytoplasmic vesicle lumen,1.773501733264644e-17
2,GO:0031983,vesicle lumen,1.9234509392485538e-17
3,GO:0035580,specific granule lumen,1.7563584061813337e-16
5,GO:0030141,secretory granule,2.308958987777883e-15
6,GO:0042581,specific granule,9.878311458686972e-15
7,GO:0099503,secretory vesicle,3.441498603602884e-14
8,GO:0005766,primary lysosome,1.026796638537529e-12
9,GO:0042582,azurophil granule,1.026796638537529e-12
12,GO:0050829,defense response to Gram-negative bacterium,2.627301260711666e-09
