,Relative Gain,Fold,Prototype,Data Dimension,Center Dimension,Data Set
0,0.34736254390622245,0,eigengene,1,1,gse73072_hrv_48_64
1,0.30935752596030297,1,eigengene,1,1,gse73072_hrv_48_64
2,0.3191748648375248,2,eigengene,1,1,gse73072_hrv_48_64
3,-0.0004532652038663487,3,eigengene,1,1,gse73072_hrv_48_64
4,0.4588212785075243,4,eigengene,1,1,gse73072_hrv_48_64
5,0.9771150906278554,0,flag_mean,1,1,gse73072_hrv_48_64
6,1.0515892399395566,1,flag_mean,1,1,gse73072_hrv_48_64
7,0.9418401111604653,2,flag_mean,1,1,gse73072_hrv_48_64
8,1.0175794784969345,0,flag_median,1,1,gse73072_hrv_48_64
9,0.9789821530609457,1,flag_median,1,1,gse73072_hrv_48_64
10,0.9463874836435957,2,flag_median,1,1,gse73072_hrv_48_64
11,0.32042397648314247,3,flag_median,1,1,gse73072_hrv_48_64
12,1.0850256791040769,4,flag_median,1,1,gse73072_hrv_48_64
13,1.686017023731564,0,module_expression,1,1,gse73072_hrv_48_64
14,1.6856667841456794,1,module_expression,1,1,gse73072_hrv_48_64
15,1.5843409661086292,2,module_expression,1,1,gse73072_hrv_48_64
16,0.44948615733982855,3,module_expression,1,1,gse73072_hrv_48_64
17,1.087447588477692,4,module_expression,1,1,gse73072_hrv_48_64
18,0.33273109730962647,0,eigengene,1,2,gse73072_hrv_48_64
19,0.3449190056177167,1,eigengene,1,2,gse73072_hrv_48_64
20,0.006416156005938589,3,eigengene,1,2,gse73072_hrv_48_64
21,0.37474370489931963,4,eigengene,1,2,gse73072_hrv_48_64
22,0.7573889426847813,1,flag_mean,1,2,gse73072_hrv_48_64
23,0.7030323120091233,2,flag_mean,1,2,gse73072_hrv_48_64
24,0.6777380005982034,2,flag_median,1,2,gse73072_hrv_48_64
25,0.457607495891017,3,flag_median,1,2,gse73072_hrv_48_64
26,0.1002026229786448,3,eigengene,1,4,gse73072_hrv_48_64
27,0.7912512457884784,0,flag_mean,1,4,gse73072_hrv_48_64
28,0.7806652317036995,1,flag_mean,1,4,gse73072_hrv_48_64
29,0.8209066396761555,2,flag_mean,1,4,gse73072_hrv_48_64
30,0.9226604788359931,4,flag_mean,1,4,gse73072_hrv_48_64
31,0.6989025776588662,0,flag_median,1,4,gse73072_hrv_48_64
32,0.6301744408249896,1,flag_median,1,4,gse73072_hrv_48_64
33,0.6828592808177192,2,flag_median,1,4,gse73072_hrv_48_64
34,0.26240758354460314,3,flag_median,1,4,gse73072_hrv_48_64
35,0.6662852500601948,4,flag_median,1,4,gse73072_hrv_48_64
36,0.6064039951861602,0,eigengene,1,8,gse73072_hrv_48_64
37,0.6418913215014679,2,eigengene,1,8,gse73072_hrv_48_64
38,0.14163845837229294,3,eigengene,1,8,gse73072_hrv_48_64
39,0.7571964908951507,0,flag_mean,1,8,gse73072_hrv_48_64
